local_timestamp,array,light_barrier,force_sensor,window_ms,minimum_rise,light_barrier_plc_time_ms,peak_plc_time_ms,peak_delay_ms,baseline,peak,peak_rise,valid,reason
2026-08-02T19:33:16.805,1,2,1,2000,0.05000000074505806,383200,383234,34,0.010114178992807865,0.6540116667747498,0.6438974738121033,1,
2026-08-02T19:33:42.090,1,2,1,2000,0.05000000074505806,408452,408486,34,0.00990661233663559,0.653096079826355,0.6431894898414612,1,
2026-08-02T19:33:45.688,1,2,1,2000,0.05000000074505806,412048,412083,35,0.009631949476897717,0.6540116667747498,0.644379734992981,1,
2026-08-02T19:33:49.520,1,2,1,2000,0.05000000074505806,415909,415943,34,0.009674671106040478,0.6543168425559998,0.644642174243927,1,
2026-08-02T19:34:11.443,1,2,1,2000,0.05000000074505806,437857,437887,30,0.009778928942978382,0.5169835686683655,0.5072046518325806,1,
2026-08-02T19:34:15.840,1,2,1,2000,0.05000000074505806,442229,442259,30,0.009894884191453457,0.5203405618667603,0.5104456543922424,1,
2026-08-02T19:34:18.138,1,2,1,2000,0.05000000074505806,444483,444514,31,0.009687366895377636,0.5185094475746155,0.5088220834732056,1,
2026-08-02T19:34:26.857,1,2,1,2000,0.05000000074505806,453193,453219,26,0.00946783646941185,0.3558458089828491,0.346377968788147,1,
2026-08-02T19:34:29.380,1,2,1,2000,0.05000000074505806,455803,455829,26,0.009815748780965805,0.35279396176338196,0.34297820925712585,1,
2026-08-02T19:34:32.121,1,2,1,2000,0.05000000074505806,458456,458482,26,0.009895098395645618,0.35309916734695435,0.3432040810585022,1,
2026-08-02T19:34:34.646,1,2,1,2000,0.05000000074505806,461050,461076,26,0.009882898069918156,0.35370951890945435,0.34382662177085876,1,
2026-08-02T19:34:36.929,1,2,1,2000,0.05000000074505806,463300,463326,26,0.009876793250441551,0.35401472449302673,0.34413793683052063,1,
2026-08-02T19:34:39.467,1,2,1,2000,0.05000000074505806,465864,465889,25,0.009901202283799648,0.3564561903476715,0.3465549945831299,1,
2026-08-02T19:34:41.779,1,2,1,2000,0.05000000074505806,468126,468152,26,0.009870684705674648,0.35279396176338196,0.34292328357696533,1,
