local_timestamp,part_number,edge,distance_1_2_mm,distance_2_3_mm,distance_3_4_mm,distance_4_5_mm,distance_5_6_mm,distance_6_7_mm,distance_7_8_mm,plc_time_lb1_ms,plc_time_lb2_ms,plc_time_lb3_ms,plc_time_lb4_ms,plc_time_lb5_ms,plc_time_lb6_ms,plc_time_lb7_ms,plc_time_lb8_ms,speed_1_2_mm_per_sec,speed_2_3_mm_per_sec,speed_3_4_mm_per_sec,speed_4_5_mm_per_sec,speed_5_6_mm_per_sec,speed_6_7_mm_per_sec,speed_7_8_mm_per_sec,acceleration_after_lb2_mm_per_sec2,acceleration_after_lb3_mm_per_sec2,acceleration_after_lb4_mm_per_sec2,acceleration_after_lb5_mm_per_sec2,acceleration_after_lb6_mm_per_sec2,acceleration_after_lb7_mm_per_sec2,maximum_speed_change_percent,consistent,diagnosis
2026-08-18T15:51:13.546,6,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8770715,8770826,8771165,8771235,8771485,8771542,8771748,8771799,360.36036036036035,578.1710914454277,571.4285714285714,784.0,701.7543859649123,951.4563106796116,784.3137254901961,866.1958545091032,-32.84406245042007,1220.8702870978898,-517.782973639868,1749.1944614875704,-1229.326657371809,37.67236624379481,True,
2026-08-18T15:52:43.481,7,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8858605,8858819,8859773,8859981,8860874,8861050,8861643,8861789,186.9158878504673,205.45073375262055,192.30769230769232,219.484882418813,227.27272727272728,330.52276559865095,273.972602739726,30.815486731193662,-22.151506266017428,47.42103851563603,14.742707421963194,244.03561871609017,-144.84877765678397,31.238404452690173,True,
2026-08-18T15:52:58.980,1,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8874788,8874957,8875631,8875798,8876496,8876638,8877159,8877285,236.68639053254438,290.80118694362017,239.52095808383234,280.8022922636103,281.6901408450704,376.19961612284067,317.46031746031747,120.95289349361957,-115.23322443398881,91.0154151656824,2.1161360543118137,263.4610835663435,-172.64872037697933,25.122161540672604,True,
2026-08-18T15:53:06.479,2,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8882404,8882570,8883202,8883367,8884020,8884164,8884671,8884795,240.96385542168676,310.126582278481,242.42424242424244,300.1531393568147,277.77777777777777,386.5877712031558,322.5806451612903,161.50388735613512,-158.51264288459143,132.72200741857435,-54.7941238923344,306.31191108755525,-192.33827208114087,28.146258503401356,True,
2026-08-18T15:53:15.292,3,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8891285,8891449,8892067,8892221,8892839,8892976,8893464,8893585,243.90243902439025,317.15210355987057,259.7402597402597,317.15210355987057,291.97080291970804,401.6393442622951,330.57851239669424,174.14007216273077,-140.3409078920054,140.3409078920054,-64.99367387657573,322.31869958418395,-220.47461864845368,27.305228660807384,True,
2026-08-18T15:53:23.292,4,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8899362,8899520,8900116,8900262,8900877,8901012,8901499,8901621,253.16455696202533,328.8590604026846,273.972602739726,318.6991869918699,296.2962962962963,402.4640657084189,327.8688524590164,186.67791825066936,-140.20040066507116,112.32281668347083,-58.3799855524417,314.34673299850806,-230.84466005829765,26.379440665154952,True,
2026-08-18T15:53:32.416,5,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8908494,8908650,8909236,8909378,8909970,8910101,8910572,8910692,256.4102564102564,334.47098976109214,281.6901408450704,331.0810810810811,305.3435114503817,416.13588110403396,333.3333333333333,195.44331948894558,-137.80299806122454,128.24299491738049,-69.40687400410178,338.70513371771744,-262.9574594538966,26.62408474840317,True,
2026-08-18T15:53:39.981,6,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,8916105,8916263,8916845,8916986,8917559,8917690,8918158,8918276,253.16455696202533,336.7697594501718,283.68794326241135,342.0593368237347,305.3435114503817,418.8034188034188,338.9830508474576,208.98973719638994,-139.55517681215872,154.77008794845793,-100.72004204849077,348.14255769738327,-256.29997813382124,27.09144726592927,True,
2026-08-21T10:45:02.218,1,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,4245399,4245578,4246043,4246146,4246569,4246674,4247086,4247190,223.46368715083798,421.505376344086,388.3495145631068,463.35697399527186,380.95238095238096,475.7281553398058,384.61538461538464,541.2320458132289,-113.77727468461387,270.6963554603997,-294.8091898168096,344.03627639714597,-332.1537444922635,46.9843803443165,True,
2026-08-21T10:45:16.845,2,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,4259986,4260167,4260671,4260780,4261218,4261326,4261749,4261854,220.99447513812154,388.8888888888889,366.9724770642202,447.48858447488584,370.3703703703704,463.35697399527186,380.95238095238096,433.88139771042694,-70.1939363499363,277.86963691816703,-267.25348299598176,328.49777161766826,-294.8091898168096,43.172849250197324,True,
2026-08-21T10:45:22.782,3,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,4266414,4266571,4266981,4267067,4267383,4267456,4267720,4267787,254.77707006369425,478.0487804878049,465.1162790697674,620.253164556962,547.945205479452,742.4242424242424,597.0149253731344,693.3020385408342,-51.684251992252925,713.4781147763559,-357.9238980296899,1063.3466420817424,-825.2836212750889,46.70479656830885,True,
2026-08-21T10:45:28.718,4,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,4272347,4272476,4272873,4272961,4273292,4273368,4273631,4273692,310.07751937984494,493.70277078085644,454.54545454545456,592.1450151057402,526.3157894736842,745.2471482889733,655.7377049180328,625.3998214065117,-157.3341340201736,610.2718163840821,-311.98054519182136,1179.5974651844897,-531.3617558545674,37.19348204398039,True,
2026-08-21T10:46:28.781,5,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,4278761,4278896,4279292,4279378,4279685,4279754,4280008,4333750,296.2962962962963,494.949494949495,465.1162790697674,638.4364820846905,579.7101449275362,771.6535433070866,0.744296825574039,666.0318108129558,-121.36376904684067,810.4575788176678,-303.1241081558063,1099.0904185020197,-2523.0874445788863,99.90354520729807,False,LB 6-7 -> LB 7-8: speed change 99.9%
2026-08-21T10:47:29.595,6,ON,40.0,196.0,40.0,196.0,40.0,196.0,40.0,4393222,4393364,4393745,4393825,4394164,4394248,4394552,4394627,281.6901408450704,514.4356955380578,500.0,578.1710914454277,476.1904761904762,644.7368421052631,533.3333333333334,785.1472431966511,-62.05120696493753,357.1263177254115,-455.6120396978163,800.5433303108241,-556.106572556875,45.24288588674907,True,
